Keypoint,Jitter_Score
L-Wrist,197.13649910151685
R-Wrist,191.99875756373288
R-Elbow,175.38578789508782
L-Elbow,168.3518179416928
R-Knee,147.48069266237408
L-Knee,137.5640168319227
R-Ankle,135.69960962791967
L-Shoulder,134.2888507689405
L-Hip,133.15970899627038
R-Shoulder,128.14164418394657
R-Hip,126.6104885448126
L-Ankle,116.71676472510205
Head,109.26310452644951
