Keypoint,Jitter_Score
R-Ankle,94.69152748586122
R-Knee,74.98851618450793
L-Ankle,70.75739714778952
L-Knee,69.05728684738487
R-Wrist,68.73038320471547
L-Elbow,63.409999206402176
L-Shoulder,61.775721725430394
R-Hip,58.64327523075144
L-Hip,55.3994309997979
Head,50.87925623328154
R-Elbow,47.06305473270598
R-Shoulder,45.52548008391154
L-Wrist,44.8692787101177
