Keypoint,Jitter_Score
R-Wrist,282.2421180559873
R-Elbow,229.4138756165172
L-Wrist,224.75990510838386
R-Ankle,203.5962511911085
L-Ankle,192.0650347036526
L-Elbow,191.45299713268295
L-Knee,177.78791760771662
R-Knee,174.89482672715397
R-Shoulder,154.84944814438347
L-Shoulder,154.780252213725
Head,148.5855139297392
R-Hip,146.84810468153196
L-Hip,139.37158510463357
