Keypoint,Jitter_Score
R-Wrist,79.14106057722509
L-Wrist,73.19351537219488
R-Elbow,63.054446986858814
L-Elbow,59.551708737636496
L-Hip,59.12519685642241
L-Shoulder,57.82613260708223
L-Ankle,57.601905985052966
R-Ankle,54.628517391385884
R-Hip,54.072062799034036
Head,51.01232992271016
R-Shoulder,50.74492724797466
L-Knee,50.587313576694925
R-Knee,48.796048924090115
