Keypoint,Jitter_Score
R-Knee,70.95355
R-Ankle,66.61509
L-Ankle,62.65241
L-Knee,58.28227
R-Hip,56.61102
R-Wrist,54.20624
R-Shoulder,51.63935
L-Shoulder,50.901638
Nose,49.826843
L-Wrist,48.53962
L-Hip,45.690155
L-Elbow,44.31374
R-Elbow,43.894306
